Namespace(batch_size=4, checkpoint='', checkpoint_dir='checkpoints', data_list='train_pairs.txt', datamode='train', dataroot='data', decay_step=100000, display_count=20, fine_height=256, fine_width=192, gpu_ids='0', grid_size=5, keep_step=100000, lr=0.0001, name='gmm_train_new', radius=5, save_count=5000, shuffle=True, stage='GMM', tensorboard_dir='tensorboard', workers=0)
Start to train stage: GMM, named: gmm_train_new!
initialization method [normal]
initialization method [normal]
step:       20, time: 0.658, loss: 0.097379
step:       40, time: 0.634, loss: 0.116481
step:       60, time: 0.634, loss: 0.141324
step:       80, time: 0.646, loss: 0.046954
step:      100, time: 0.641, loss: 0.053780
step:      120, time: 0.670, loss: 0.176959
step:      140, time: 0.667, loss: 0.165660
step:      160, time: 0.655, loss: 0.089005
step:      180, time: 0.670, loss: 0.085148
step:      200, time: 0.669, loss: 0.234358
step:      220, time: 0.647, loss: 0.201675
step:      240, time: 0.648, loss: 0.117082
step:      260, time: 0.625, loss: 0.076918
step:      280, time: 0.660, loss: 0.167083
step:      300, time: 0.633, loss: 0.129695
step:      320, time: 0.639, loss: 0.121119
step:      340, time: 0.659, loss: 0.105664
step:      360, time: 0.626, loss: 0.114698
step:      380, time: 0.656, loss: 0.215266
step:      400, time: 0.637, loss: 0.098493
step:      420, time: 0.648, loss: 0.143485
step:      440, time: 0.645, loss: 0.096118
step:      460, time: 0.649, loss: 0.126732
step:      480, time: 0.633, loss: 0.144778
step:      500, time: 0.632, loss: 0.136925
step:      520, time: 0.639, loss: 0.061114
step:      540, time: 0.666, loss: 0.121214
step:      560, time: 0.640, loss: 0.070846
step:      580, time: 0.655, loss: 0.149060
step:      600, time: 0.679, loss: 0.220562
step:      620, time: 0.661, loss: 0.144807
step:      640, time: 0.639, loss: 0.138786
step:      660, time: 0.643, loss: 0.062251
step:      680, time: 0.668, loss: 0.224757
step:      700, time: 0.681, loss: 0.147470
step:      720, time: 0.631, loss: 0.123697
step:      740, time: 0.650, loss: 0.117972
step:      760, time: 0.624, loss: 0.125491
step:      780, time: 0.649, loss: 0.105312
step:      800, time: 0.652, loss: 0.068887
step:      820, time: 0.650, loss: 0.085212
step:      840, time: 0.625, loss: 0.129352
step:      860, time: 0.637, loss: 0.048115
step:      880, time: 0.657, loss: 0.143258
step:      900, time: 0.644, loss: 0.149190
step:      920, time: 0.638, loss: 0.083068
step:      940, time: 0.636, loss: 0.088349
step:      960, time: 0.637, loss: 0.119121
step:      980, time: 0.662, loss: 0.106772
step:     1000, time: 0.629, loss: 0.077444
step:     1020, time: 0.659, loss: 0.111373
step:     1040, time: 0.657, loss: 0.095988
step:     1060, time: 0.635, loss: 0.135138
step:     1080, time: 0.647, loss: 0.115579
step:     1100, time: 0.659, loss: 0.178785
step:     1120, time: 0.628, loss: 0.062016
step:     1140, time: 0.642, loss: 0.129668
step:     1160, time: 0.629, loss: 0.086451
step:     1180, time: 0.632, loss: 0.083271
step:     1200, time: 0.651, loss: 0.217937
step:     1220, time: 0.641, loss: 0.135273
step:     1240, time: 0.677, loss: 0.163999
step:     1260, time: 0.677, loss: 0.081536
step:     1280, time: 0.661, loss: 0.123354
step:     1300, time: 0.625, loss: 0.130294
step:     1320, time: 0.644, loss: 0.123898
step:     1340, time: 0.652, loss: 0.134441
step:     1360, time: 0.635, loss: 0.077984
step:     1380, time: 0.644, loss: 0.101529
step:     1400, time: 0.644, loss: 0.126880
step:     1420, time: 0.626, loss: 0.075973
step:     1440, time: 0.639, loss: 0.209906
step:     1460, time: 0.656, loss: 0.129408
step:     1480, time: 0.638, loss: 0.187738
step:     1500, time: 0.645, loss: 0.094610
step:     1520, time: 0.663, loss: 0.129326
step:     1540, time: 0.678, loss: 0.124735
step:     1560, time: 0.668, loss: 0.172525
step:     1580, time: 0.657, loss: 0.091601
step:     1600, time: 0.632, loss: 0.053426
step:     1620, time: 0.647, loss: 0.056297
step:     1640, time: 0.646, loss: 0.103651
step:     1660, time: 0.666, loss: 0.159354
step:     1680, time: 0.637, loss: 0.084826
step:     1700, time: 0.631, loss: 0.065060
step:     1720, time: 0.635, loss: 0.141771
step:     1740, time: 0.610, loss: 0.119671
step:     1760, time: 0.642, loss: 0.083015
step:     1780, time: 0.651, loss: 0.135865
step:     1800, time: 0.626, loss: 0.070194
step:     1820, time: 0.637, loss: 0.102145
step:     1840, time: 0.641, loss: 0.092632
step:     1860, time: 0.668, loss: 0.174524
step:     1880, time: 0.642, loss: 0.082643
step:     1900, time: 0.617, loss: 0.121773
step:     1920, time: 0.667, loss: 0.110549
step:     1940, time: 0.655, loss: 0.122773
step:     1960, time: 0.652, loss: 0.114641
step:     1980, time: 0.649, loss: 0.106287
step:     2000, time: 0.625, loss: 0.118249
step:     2020, time: 0.638, loss: 0.072074
step:     2040, time: 0.681, loss: 0.265536
step:     2060, time: 0.644, loss: 0.103980
step:     2080, time: 0.610, loss: 0.090962
step:     2100, time: 0.620, loss: 0.083473
step:     2120, time: 0.658, loss: 0.070855
step:     2140, time: 0.649, loss: 0.103248
step:     2160, time: 0.637, loss: 0.088085
step:     2180, time: 0.647, loss: 0.125119
step:     2200, time: 0.638, loss: 0.080505
step:     2220, time: 0.641, loss: 0.142264
